epoch,angioma_dice,bg_dice,cyst_dice,hcc_dice,loss,val_angioma_dice,val_bg_dice,val_cyst_dice,val_hcc_dice,val_loss
0,0.108375974,0.9414112,0.23987967,0.7833576,0.0067061097496865195,0.1009643,0.9296641,0.44165578,0.81518984,0.006330278204129029
1,0.13703759,0.9598654,0.40733615,0.83476955,0.0049807681488107155,0.22066127,0.9064362,0.5001019,0.7615664,0.007040733541729615
2,0.1916856,0.96795404,0.4743926,0.853609,0.0042321660059893105,0.23728813,0.9171384,0.50597405,0.78922343,0.0065035056712498
3,0.20749119,0.9728484,0.5226204,0.86784506,0.0037536557011988887,0.2520646,0.94301695,0.5593497,0.829637,0.005223764069163927
4,0.2204299,0.9756656,0.55056757,0.8775604,0.003435752152101652,0.24397537,0.9243745,0.5371905,0.7757583,0.006259707729087064
5,0.23849387,0.9777281,0.5817033,0.8860705,0.0031613051423190087,0.24922206,0.9502522,0.54658127,0.84407943,0.00486535933616228
6,0.25222653,0.9792323,0.6084077,0.89386296,0.0029246181885636646,0.23911327,0.92419714,0.5003768,0.8023629,0.0062378697713996335
7,0.26404864,0.98025733,0.63455087,0.89919996,0.002742749779427857,0.2636108,0.9458964,0.540085,0.8354036,0.005142441311618313
8,0.27741843,0.98125786,0.6541957,0.90383387,0.002588140634512431,0.2576385,0.926968,0.5167037,0.79243827,0.00607841804985104
9,0.28536937,0.9818773,0.6649974,0.90705764,0.0024827121833592876,0.24325857,0.931537,0.51005906,0.79282767,0.006215290532288092
10,0.29975837,0.98262507,0.6758241,0.91095996,0.00236456039029402,0.29161367,0.96102095,0.5592741,0.88624525,0.004295980313158668
11,0.30930662,0.9832452,0.6856792,0.91311103,0.0022707375271867358,0.27235112,0.966052,0.5867174,0.879299,0.00409433065694573
12,0.3153642,0.98370063,0.6987801,0.91546464,0.0021845619701716034,0.2760965,0.93797123,0.5356672,0.8059503,0.0056687276201984405
13,0.3233036,0.98420304,0.7057375,0.9170883,0.0021177526300085923,0.29542282,0.95766073,0.5786682,0.8624204,0.004496396439254137
14,0.32390487,0.984573,0.7192282,0.9195462,0.0020422012683403053,0.26432365,0.94300824,0.53983766,0.8239432,0.005537828362706166
15,0.33635458,0.98503876,0.72121805,0.92116404,0.0019783902778925445,0.27354258,0.9233589,0.541728,0.7854626,0.0062644912726797265
16,0.34184772,0.9853408,0.7314896,0.9221342,0.001927542202438567,0.29741162,0.9600356,0.57894343,0.8614096,0.004646516478357003
