epoch,angioma_dice,bg_dice,cyst_dice,hcc_dice,loss,val_angioma_dice,val_bg_dice,val_cyst_dice,val_hcc_dice,val_loss
1,0.11602621,0.9521319,0.30325127,0.8074242,0.0057636539112642165,0.2803714,0.9020357,0.28604886,0.7582749,0.008275534641610032
2,0.17039016,0.9656829,0.43626222,0.84562665,0.004497732888600486,0.2710697,0.91339856,0.37047362,0.74366325,0.007673389295027738
3,0.20551066,0.97147804,0.49713138,0.8611554,0.003921728365309286,0.2411594,0.9340016,0.41235873,0.7787227,0.006654730701748035
4,0.22818126,0.97486246,0.53200006,0.8731625,0.0035194737140235893,0.27960983,0.94346017,0.41427335,0.80622053,0.0061260976852993455
5,0.2479426,0.97719955,0.5663515,0.8824564,0.003208900291586772,0.2871128,0.93762845,0.43949926,0.7839388,0.006375965980614395
6,0.26485777,0.97866887,0.59861183,0.8897017,0.002962320135487204,0.29810798,0.95127714,0.4704936,0.82580674,0.0055598067199680214
7,0.27326658,0.9800525,0.61973244,0.8968358,0.002746921294157099,0.32093295,0.9637587,0.44892508,0.82101494,0.0056891206722668765
8,0.2756059,0.9810417,0.64549875,0.9024458,0.002578142402300046,0.3126164,0.9582432,0.4527731,0.8293831,0.005763372886708301
9,0.28878218,0.9819671,0.66168517,0.9064663,0.002440681456487258,0.3101335,0.9513058,0.42851835,0.8084158,0.006434280929842928
10,0.2966204,0.9828285,0.67857313,0.91011083,0.0023082814538194388,0.29368407,0.93564814,0.4606145,0.7782991,0.006613057530620546
11,0.29976124,0.9833108,0.688403,0.9130835,0.00222910049271957,0.32288116,0.9549326,0.5056836,0.83099467,0.005357933708197277
12,0.30788487,0.9838401,0.6960664,0.91546404,0.002145281631949511,0.3103497,0.9499593,0.5064711,0.8248676,0.0055333647713751745
13,0.31167153,0.9844601,0.7060152,0.9186778,0.00205784540013284,0.31905934,0.9567863,0.5063076,0.8389134,0.005355067871584059
14,0.32134318,0.9848886,0.7155299,0.9206379,0.001989646991443991,0.32272762,0.9547085,0.4854341,0.837991,0.0055956708871347655
15,0.3248698,0.9851635,0.72411865,0.92232734,0.001939191811028579,0.318994,0.9609721,0.50342226,0.8462468,0.005404675844174622
16,0.33604953,0.9855018,0.7317173,0.92393345,0.0018838470509241322,0.34999222,0.9710845,0.58327377,0.8626371,0.004415986490857281
17,0.33499777,0.9857863,0.7376897,0.9253368,0.0018260809690810692,0.32898918,0.9590554,0.49162704,0.8386023,0.00553188928571081
18,0.3443834,0.98616445,0.7438092,0.9269593,0.0017807180746200867,0.3321573,0.9658685,0.54494286,0.8539408,0.004925393024353623
19,0.34760156,0.9863096,0.74697655,0.9279762,0.0017483062551322892,0.34102577,0.96828306,0.56286067,0.8607439,0.0047414501278623174
20,0.34934062,0.98660743,0.75836897,0.9290375,0.0017041190024645575,0.33745185,0.965276,0.5002033,0.8532862,0.00536828040912751
21,0.35394615,0.9868646,0.7556176,0.9300485,0.0016710212375954665,0.3218367,0.9488268,0.51985663,0.82116467,0.005720563941919528
22,0.35551307,0.9870003,0.7608128,0.93124783,0.0016404767865866058,0.3485432,0.97413373,0.5788661,0.8704766,0.004661921383438536
23,0.36393958,0.98721796,0.7680269,0.9321124,0.0016084854483726426,0.3295759,0.9649965,0.5309143,0.86113584,0.005080991979805419
24,0.36425263,0.98736095,0.77071184,0.93266106,0.0015850535419318441,0.33737662,0.9618799,0.53997654,0.8425051,0.005308757332507389
25,0.36818582,0.9875404,0.77201575,0.9335586,0.001561501814615428,0.33116502,0.9699891,0.5433776,0.8687359,0.005060405278435208
26,0.37087747,0.9877037,0.7780147,0.93385,0.001536593237054546,0.33907402,0.9731354,0.5655862,0.8714545,0.004874124824174388
27,0.37607226,0.98774415,0.77939165,0.9344182,0.0015191117319655046,0.32903028,0.964027,0.5591839,0.851014,0.00514148223554532
28,0.376389,0.98788387,0.7808269,0.9353814,0.0014980241078518257,0.35478196,0.97011137,0.58122754,0.86791795,0.004623393551924566
29,0.38367477,0.98803663,0.7790133,0.9358076,0.0014749880220997756,0.3469349,0.9727776,0.5750635,0.8727595,0.0047084438383964665
30,0.38492653,0.9882101,0.78517896,0.93652904,0.0014506201831618894,0.34710363,0.97231007,0.5749411,0.87254345,0.004670703105073134
31,0.3859709,0.9882797,0.7880017,0.93677205,0.0014352832091325551,0.3353559,0.9657093,0.55961716,0.8587646,0.005092957847891911
32,0.38672093,0.9883951,0.7883507,0.9376621,0.0014209654384806057,0.3420931,0.9704287,0.5720831,0.86870956,0.005011683254814824
33,0.3891546,0.9885099,0.79354215,0.93798566,0.001401415848491524,0.3366108,0.97551805,0.57651067,0.8826253,0.004763550329166327
34,0.40230307,0.9886192,0.7962745,0.9384505,0.0013842696547413933,0.35112622,0.9781883,0.59673303,0.886328,0.004563170411880464
35,0.39556825,0.9886717,0.79854995,0.9391557,0.001370570375060496,0.35718882,0.9791024,0.6010361,0.8910585,0.004448281137117457
36,0.40089408,0.9888055,0.7991532,0.9392806,0.0013524625058728952,0.3452746,0.9689237,0.54881287,0.87309223,0.004830844394685767
37,0.39878887,0.9888627,0.80072373,0.93993866,0.0013447863812605136,0.3573263,0.9708896,0.58336157,0.87007934,0.004729373742308604
38,0.40308633,0.9889474,0.80066425,0.9399817,0.0013264676033036846,0.34673253,0.9773446,0.57015616,0.88149834,0.00480140695801181
39,0.40910688,0.988996,0.8073937,0.9404798,0.0013176524015900298,0.32634723,0.9728625,0.58120763,0.8794033,0.0048896017818957785
40,0.4123097,0.98913205,0.8065934,0.9408257,0.00130338399018205,0.33574647,0.97103375,0.56647074,0.8745836,0.004892890314090987
41,0.40693632,0.9891321,0.8062402,0.9410174,0.0012975826752135388,0.3440832,0.97451043,0.58676004,0.87944925,0.004680848984436827
42,0.4141372,0.98920393,0.80960584,0.941441,0.0012837126309097591,0.34679526,0.9782752,0.5970968,0.88720554,0.004701554024115909
43,0.4169841,0.98931086,0.8080593,0.94168603,0.0012703572625207267,0.33942235,0.9749319,0.58223504,0.8827959,0.004873865446227413
44,0.42136732,0.9893607,0.8166769,0.9423268,0.0012544874039717806,0.345848,0.9782501,0.5833022,0.8914583,0.00480619904671861
45,0.42444795,0.98938686,0.81704026,0.9422914,0.0012548970030779112,0.3310393,0.97172374,0.56556076,0.8740768,0.005119253203215451
46,0.4193282,0.9894886,0.815953,0.94272214,0.0012362580218370914,0.27302226,0.9594034,0.56376874,0.8574635,0.005526007024157656
47,0.42185828,0.98959017,0.8179693,0.9429512,0.0012256389400117267,0.3494097,0.97890973,0.6061698,0.89059407,0.004636910375543107
48,0.41997242,0.98954815,0.81801784,0.94314754,0.001221834083713564,0.35796332,0.98113036,0.6254434,0.8962607,0.004869056909040151
49,0.42766204,0.98966247,0.81883746,0.94352025,0.001209722990609604,0.34918234,0.9770653,0.5943218,0.88670254,0.004771044170633058
