epoch,angioma_dice,bg_dice,cyst_dice,hcc_dice,loss,val_angioma_dice,val_bg_dice,val_cyst_dice,val_hcc_dice,val_loss
50,0.4578779,0.98981637,0.8332707,0.94371456,0.0011750182872933793,0.23438908,0.98516715,0.6921719,0.9297911,0.004212862378435124
51,0.45641315,0.9899012,0.83155346,0.9438879,0.0011620246289477114,0.24158484,0.98558617,0.70064974,0.9313646,0.004084249844684229
52,0.45845598,0.9899409,0.8321247,0.944094,0.0011590828502883867,0.2514278,0.9847353,0.69011045,0.9299552,0.004227059788766047
53,0.45805067,0.9899005,0.83552283,0.9442095,0.0011583763046214778,0.23740135,0.9849863,0.6940462,0.92912173,0.004226806079953492
54,0.46210375,0.9899385,0.83472925,0.9441935,0.0011559297964036383,0.24452417,0.9850814,0.6938468,0.9311912,0.00417420537559481
55,0.46135402,0.98989755,0.8333516,0.9442083,0.001153216854942509,0.23767295,0.9856268,0.70432836,0.9313365,0.0041027211704472155
56,0.46290013,0.9899224,0.83449495,0.9442183,0.0011568734669823897,0.24418324,0.9850942,0.69519615,0.9290043,0.0041467644349751556
57,0.455744,0.989914,0.8329596,0.94435835,0.0011558347668390253,0.24347265,0.98540866,0.69291776,0.93032944,0.0041319589063641615
58,0.46376163,0.989925,0.8290138,0.94435334,0.0011529413572699027,0.2395736,0.98544306,0.6961754,0.9297286,0.004122040049359815
59,0.4585859,0.98995066,0.8351344,0.94434655,0.0011517158609624322,0.24133389,0.9854547,0.70320433,0.93061143,0.0041131694557905
