epoch,angioma_dice,bg_dice,cyst_dice,hcc_dice,loss,val_angioma_dice,val_bg_dice,val_cyst_dice,val_hcc_dice,val_loss
0,0.15733626,0.92114663,0.31175172,0.779018,0.007826973811301942,0.26444265,0.91298324,0.39197657,0.8396286,0.006959958521994381
1,0.22276528,0.93935436,0.4134229,0.8130034,0.006473150811561094,0.23855902,0.9181085,0.46559015,0.8432977,0.006571305409685459
2,0.23964578,0.94952756,0.47398865,0.8312148,0.005755234515323794,0.2875161,0.93692636,0.52627,0.8572119,0.005726234971300892
3,0.2586287,0.95714396,0.5098617,0.8480829,0.005178848095324352,0.3125745,0.92424417,0.5390344,0.82803535,0.0063113060027362765
4,0.26932952,0.96182984,0.5425848,0.85816664,0.004784961964172835,0.27781627,0.8798256,0.53385794,0.75960165,0.008224955331062241
5,0.2787199,0.9651934,0.56963503,0.8672041,0.004454177849373191,0.28666076,0.9143246,0.56583315,0.80738246,0.006726191323727065
6,0.29275936,0.96832967,0.59435517,0.87547445,0.004142192579628108,0.27298164,0.9099011,0.5503405,0.80965656,0.006869426901048347
7,0.30843633,0.97018653,0.61984146,0.8811643,0.003911576744951254,0.27531168,0.9361737,0.5605636,0.85110617,0.005595341331977351
8,0.3132514,0.9720496,0.6366044,0.8851826,0.003710400618761149,0.27029714,0.9477525,0.60170436,0.86116415,0.005180716048579124
9,0.32995477,0.9735147,0.6555674,0.8908331,0.003516993614929937,0.24597424,0.91703606,0.55861807,0.8085666,0.0067743481876179614
10,0.34108365,0.97448933,0.6601108,0.8934134,0.003388507327280734,0.3001075,0.9409666,0.6240259,0.85329795,0.005171733648459331
11,0.3592631,0.9755056,0.679119,0.8972193,0.0032204177602935336,0.29647902,0.93868536,0.6092471,0.84848475,0.005368998587076907
12,0.36376414,0.97634757,0.6931166,0.8994639,0.0031101156032621634,0.3372004,0.94938827,0.62576115,0.8743649,0.004566565814860151
13,0.37472624,0.97708154,0.70121944,0.90375036,0.002985304573758427,0.299994,0.899352,0.61289847,0.78166103,0.006772086786738215
14,0.3857316,0.97774905,0.7159797,0.90608746,0.0028767308016967837,0.3407509,0.9556101,0.6664909,0.87870705,0.004286249323668939
15,0.39077216,0.97808427,0.7216868,0.907793,0.002802414173411729,0.34696835,0.9545328,0.6523181,0.876662,0.004352306607408357
16,0.39351496,0.97865856,0.73363876,0.9090747,0.0027294868135067235,0.3320359,0.92913276,0.59647036,0.85004723,0.00538571320600915
17,0.400995,0.9792572,0.74287754,0.91263354,0.002637134550716687,0.35127267,0.9483155,0.6344879,0.87661093,0.0046338697301359895
18,0.41315532,0.97941846,0.7540069,0.91338646,0.002579428380897299,0.34745815,0.9524109,0.6688714,0.87342376,0.004416333614643599
19,0.41976774,0.97993594,0.75710183,0.9153096,0.002496395399379415,0.32333872,0.93767095,0.6404999,0.8504352,0.005226162195638733
20,0.42185605,0.98037624,0.7595383,0.9169741,0.002447526203890188,0.3304747,0.9309806,0.6549547,0.8291106,0.005410664966498801
21,0.42650962,0.9807516,0.7637943,0.91745096,0.0023930025322937577,0.34781814,0.9457094,0.64393526,0.8667834,0.004781066957119551
22,0.42885885,0.9807759,0.7737418,0.9187464,0.0023544698925236965,0.33189133,0.93638486,0.6463741,0.8492765,0.005160239266804884
23,0.43966287,0.98127854,0.78401756,0.92078894,0.0022804296870924134,0.36813533,0.95946443,0.69440776,0.8910731,0.00383784131211045
24,0.44249758,0.9816091,0.7841365,0.9213199,0.00224226552035032,0.34936935,0.9509484,0.6862305,0.8709487,0.004380148983124683
25,0.44587886,0.9818528,0.7846817,0.9224049,0.0021949108967765515,0.31890512,0.9539833,0.64726925,0.88605505,0.0045861901974021445
26,0.44842556,0.9819615,0.79449064,0.9231204,0.002174110981437367,0.35442904,0.9627422,0.70424306,0.8928503,0.003875842464600134
27,0.45459855,0.9822485,0.79488087,0.92381924,0.002141913017877925,0.39210218,0.96977156,0.72298145,0.9094215,0.003302441563265712
28,0.4549982,0.98233783,0.79601,0.9252193,0.0021082073111327857,0.35185215,0.96191144,0.69754267,0.8944105,0.0038628061651310042
29,0.4596345,0.98262537,0.800814,0.92609304,0.0020679527194264217,0.34569556,0.93959737,0.6463953,0.8639051,0.004978660679729059
30,0.46528503,0.9827806,0.80486023,0.92622375,0.002042913049719755,0.37666968,0.97273445,0.72250503,0.917247,0.0032026579002565224
31,0.46741062,0.98290825,0.8135081,0.9272588,0.00200229083192293,0.35967273,0.95093656,0.6860271,0.8733112,0.004384259291972189
32,0.46597692,0.983231,0.81344044,0.92820024,0.0019683646296767662,0.3759165,0.9626635,0.7289877,0.889543,0.003745900211306136
33,0.46828103,0.9831027,0.8114397,0.9280971,0.0019722146222715116,0.3722407,0.96219116,0.70881206,0.8960636,0.003684379595067672
34,0.4794096,0.98342085,0.81797963,0.9288889,0.0019273250720277012,0.3659713,0.9573892,0.68853164,0.88599974,0.004050645515876945
35,0.4848408,0.9835922,0.8216934,0.93006885,0.0018949822978311006,0.36566952,0.9589251,0.71034116,0.8845403,0.004021588300358943
36,0.47701114,0.9836693,0.8184241,0.9301148,0.0018959396041063402,0.38427266,0.970889,0.73675764,0.90973145,0.003364910727151208
37,0.48415235,0.98385745,0.82157564,0.93104786,0.001864748785501455,0.3765791,0.96518004,0.7270262,0.8988151,0.0036450767155965236
38,0.48976845,0.9839211,0.82342005,0.9310151,0.0018414959792042284,0.37471572,0.9618889,0.7092373,0.8943543,0.0037804606193778375
39,0.49238133,0.9840413,0.8261046,0.93157536,0.0018329147124587547,0.38955122,0.9702563,0.7475134,0.9057356,0.0033240291005221623
40,0.4947126,0.98409355,0.8299171,0.9316021,0.0018084986063684725,0.3781357,0.9626967,0.7178283,0.8939019,0.003782776908896275
41,0.48632094,0.9842691,0.8340777,0.93263644,0.001783229707463223,0.37928978,0.9738295,0.73452294,0.9182518,0.0031924271071318146
42,0.49408045,0.9843682,0.8299812,0.9327833,0.0017788366463093886,0.36591923,0.96277255,0.7091404,0.8887305,0.003939840185430069
43,0.49111733,0.9843567,0.8338797,0.93290025,0.0017733243760224024,0.35061955,0.95717245,0.68733066,0.8917075,0.004097157434566835
44,0.5081677,0.9845448,0.8320127,0.93302065,0.0017502161034816794,0.37818402,0.9673797,0.70695233,0.9028588,0.003718071780821019
45,0.5046302,0.9845369,0.834195,0.93373406,0.001742651146067135,0.39284602,0.9731633,0.75331193,0.9126383,0.0031665364945176904
46,0.5016004,0.9847034,0.84276134,0.9337216,0.0017264947599492013,0.3752101,0.9686686,0.7336449,0.90570724,0.0034345114732950454
47,0.51496774,0.9848748,0.83951354,0.9350062,0.001692585647115144,0.3708064,0.96617174,0.7181516,0.9035491,0.0035567166307669037
48,0.5108454,0.9848866,0.8417792,0.934901,0.0016874871810747935,0.37591058,0.9623661,0.7246881,0.8948096,0.0037411870166540917
49,0.5120365,0.9850224,0.8377827,0.93555325,0.0016689060583536803,0.37200582,0.9684957,0.7279158,0.9055924,0.003461662432101592
