epoch,angioma_dice,bg_dice,cyst_dice,hcc_dice,loss,val_angioma_dice,val_bg_dice,val_cyst_dice,val_hcc_dice,val_loss
0,0.083663836,0.94607836,0.28261155,0.80255485,0.006277788925941745,0.198383,0.9213338,0.385599,0.8111894,0.006238094584137535
1,0.1540257,0.9625194,0.43566096,0.8436595,0.004818619464391057,0.22092065,0.93547016,0.48137543,0.8231343,0.005580071692309864
2,0.18055628,0.9708306,0.5117766,0.8649511,0.004047184776960381,0.20937675,0.9404577,0.52136415,0.8225765,0.005333338744967003
3,0.20922832,0.97525173,0.5580009,0.8793576,0.003579907986017407,0.21328343,0.91655475,0.4975898,0.7869092,0.006269690590968306
4,0.2274322,0.97801566,0.59020513,0.8883613,0.003243149186804483,0.24348752,0.9550715,0.5722811,0.84338564,0.004540731420583891
5,0.25011194,0.9798644,0.6139251,0.8956059,0.0029972239152603174,0.2752494,0.939397,0.5506774,0.8171384,0.0052022325119756695
6,0.27152765,0.9813225,0.63906455,0.901274,0.0027833860137642186,0.28928977,0.96112365,0.57463557,0.86089385,0.004127957634423943
7,0.28515595,0.98236626,0.6582828,0.9061285,0.0026133041379941806,0.29084155,0.9661379,0.60004973,0.87476504,0.003762962352806545
8,0.30012432,0.9832174,0.67174685,0.909735,0.0024687449046424835,0.2906541,0.96766484,0.5671084,0.8734962,0.0039721522972588075
9,0.3070375,0.98388237,0.6913783,0.91290617,0.0023498277545487014,0.25964198,0.9493738,0.5628146,0.8389275,0.00469763291438822
10,0.3234094,0.98452693,0.70421284,0.9157709,0.002241732759782763,0.25723594,0.9479818,0.5621709,0.83320093,0.004838480827192336
11,0.32861912,0.98524123,0.7142931,0.9182384,0.002146194340535722,0.30307835,0.9735803,0.6262412,0.8886029,0.003581008571021139
12,0.3371416,0.9855275,0.72573715,0.9206123,0.002068792093537109,0.2961473,0.97001255,0.6091009,0.8800274,0.0036405335132284875
13,0.34130275,0.9859903,0.7354546,0.9226538,0.0020061095718332876,0.31120685,0.972645,0.6319484,0.8865233,0.003528028703614606
14,0.34896263,0.9863321,0.74204946,0.92371935,0.0019429299752819634,0.2999919,0.97365075,0.6063652,0.8851851,0.0035826347951957733
15,0.35925972,0.98673403,0.7470127,0.9255453,0.001879166853118852,0.23210673,0.9500171,0.5289982,0.849691,0.004922886513480261
16,0.35992432,0.9870232,0.75508803,0.92701644,0.0018352019538810868,0.26265478,0.96373993,0.61735445,0.86947364,0.003924834929422042
17,0.3649162,0.9871242,0.76031923,0.9283362,0.0017988225469054645,0.2852642,0.97214603,0.60084796,0.8821715,0.0036816827418609263
18,0.36710966,0.98755455,0.76703244,0.9295729,0.0017441210041726214,0.29312077,0.9705976,0.6309455,0.8841549,0.0033481532858168897
