epoch,angioma_dice,bg_dice,cyst_dice,hcc_dice,loss,val_angioma_dice,val_bg_dice,val_cyst_dice,val_hcc_dice,val_loss
0,0.00439389,0.9261991,0.16969782,0.75848293,0.005011962803770538,0.38489377,0.9186908,0.18343256,0.8168433,0.00473327352028144
1,0.12177426,0.9374152,0.24492097,0.791749,0.004337084529122207,0.44299126,0.91964906,0.28329608,0.8201612,0.00446734714615894
2,0.24993299,0.9443934,0.32548612,0.80940366,0.003985407467370487,0.43690592,0.9230593,0.38449645,0.8244739,0.0041876259691228995
3,0.30008253,0.95027536,0.40976104,0.82230145,0.0036470340840599825,0.43721715,0.9199516,0.43233642,0.821431,0.004117451267267921
4,0.31159768,0.954419,0.45976844,0.8298845,0.003397907192083391,0.44615766,0.91890633,0.45199963,0.8188818,0.004078884540664914
5,0.3211915,0.9577086,0.49408534,0.83652854,0.0032075487834426625,0.4660192,0.93599254,0.5139056,0.8363645,0.003646791919477676
6,0.35424444,0.9607865,0.5215711,0.84350085,0.0030394693668876795,0.44247204,0.9392605,0.5389602,0.83841485,0.003538259043309249
7,0.3553596,0.9632241,0.54110205,0.84842896,0.002910911666344849,0.42710838,0.9425718,0.5689667,0.8392947,0.0034639757852021015
8,0.36244702,0.9657658,0.56582993,0.85388494,0.0027691783573548677,0.45403257,0.94425166,0.5888573,0.8375066,0.003396148960057058
9,0.37493327,0.96794826,0.58405584,0.8590011,0.00264643651101017,0.43217975,0.9367688,0.56850004,0.8292094,0.003552024849739514
10,0.38130102,0.9696933,0.60273767,0.86376685,0.0025427573300855783,0.40882528,0.93977284,0.5956198,0.8274749,0.003517532947375194
11,0.38788596,0.9714382,0.61630887,0.86758673,0.002447255718392339,0.3990516,0.94775486,0.6384343,0.8379181,0.0033077954449445795
12,0.39899316,0.97247535,0.62851137,0.87085056,0.0023755017961292423,0.38482946,0.94481534,0.6303531,0.8311086,0.0033718926971778272
13,0.3933,0.97364753,0.63790524,0.8747783,0.002307251629852296,0.3652711,0.9347897,0.5725192,0.82479614,0.0036002606253972965
14,0.4079753,0.97447264,0.64778316,0.8770467,0.0022478580046958975,0.36850357,0.94169587,0.6327015,0.8242,0.003427815160616056
15,0.41517878,0.9752269,0.65538085,0.8798237,0.0021915922242247564,0.37857056,0.95561117,0.6675211,0.8493155,0.0030382008455987824
16,0.4134024,0.97592324,0.66527396,0.8820079,0.00214036137864756,0.35239884,0.93755716,0.6142991,0.8183213,0.0034995146095752718
17,0.4159115,0.97660315,0.6749169,0.8839853,0.002091976854000707,0.3522394,0.9449163,0.6343503,0.8288995,0.003270746145618001
18,0.42511886,0.977283,0.6800656,0.8862138,0.00204106940779928,0.3748011,0.9387908,0.61838955,0.81962055,0.0034268817533493826
19,0.43144673,0.9776359,0.6833798,0.8875241,0.0020119366529098813,0.3785932,0.9474977,0.640371,0.83578974,0.003134352581477479
20,0.4360469,0.97829443,0.69262266,0.88992167,0.001966153118695517,0.3610308,0.9255898,0.597094,0.7978225,0.003789849752119105
21,0.44252267,0.97867566,0.69787264,0.89116794,0.0019281223827808235,0.37993369,0.9451258,0.63770765,0.8332574,0.003167684855380733
22,0.44595644,0.9792586,0.70428747,0.8934611,0.0018856158656375673,0.40902692,0.9553998,0.66453725,0.8525259,0.0028451999599163075
23,0.44703898,0.979513,0.7086948,0.89454335,0.0018633295933464249,0.417614,0.9614772,0.69830805,0.8614548,0.0027129552963091746
24,0.44950217,0.97994864,0.7171964,0.8965221,0.0018236988166812104,0.3943592,0.94963217,0.65208215,0.8396664,0.0030429133471395623
25,0.4546712,0.98021305,0.71995276,0.8979804,0.0017958971904193446,0.43773288,0.9479289,0.67514795,0.8313987,0.003043737146439717
26,0.46091032,0.98047984,0.72504574,0.89949864,0.0017678770697009182,0.45769736,0.9511914,0.6460527,0.844956,0.0029542486631850664
27,0.4718732,0.98081124,0.7289291,0.9006311,0.0017314064355490508,0.44968548,0.9508772,0.66224515,0.8433422,0.002928397365551638
28,0.47735807,0.9810603,0.7386858,0.902425,0.0017009820919176549,0.4275582,0.9279219,0.67746574,0.7847528,0.0037064175128838734
29,0.48167917,0.98140174,0.7420683,0.9038917,0.0016766519813159388,0.47045952,0.94969684,0.702959,0.83176464,0.0029493601246442843
30,0.48247227,0.9815507,0.7466909,0.9049178,0.001656059788480648,0.47841778,0.94118005,0.6298676,0.8301697,0.0032081634752256305
31,0.49112776,0.9817591,0.75306183,0.9058358,0.0016273804682672103,0.4884739,0.9566688,0.71523976,0.8512616,0.002718784008787847
32,0.49234217,0.9820331,0.7573519,0.9073742,0.001599192684665761,0.4502905,0.93773246,0.5981352,0.82845575,0.003388561432396895
33,0.4965037,0.98238283,0.7603011,0.90885127,0.0015718517065883412,0.4284975,0.9248807,0.6487228,0.79188323,0.0037294147242056697
34,0.5117403,0.9824762,0.7656143,0.90936846,0.001554914126224377,0.48503965,0.9578591,0.7155823,0.8535622,0.002625157355796546
35,0.5097734,0.9826093,0.76729727,0.910674,0.0015337450170826502,0.47114798,0.9394525,0.5965516,0.8333121,0.0033357459338577955
36,0.5106273,0.98276246,0.7739167,0.91152954,0.0015118618580251839,0.4538449,0.923355,0.6142676,0.79642653,0.00380060224524258
37,0.5167489,0.98303586,0.77633923,0.91265464,0.0014932997300186224,0.48924395,0.9399218,0.5810935,0.83592093,0.003398057294666375
38,0.51046896,0.98306644,0.78221893,0.9132091,0.0014772592600730465,0.5181412,0.95766693,0.70244503,0.85964066,0.002568891534557272
39,0.52326965,0.9833156,0.78383166,0.9141427,0.0014557471446865486,0.50878,0.9569892,0.68998945,0.85969675,0.0025947746195781386
40,0.5261829,0.98347324,0.78663594,0.9152196,0.0014359391267358879,0.4729152,0.95227206,0.69383645,0.84870225,0.0027498978149685027
41,0.53455335,0.98357934,0.7900973,0.9157813,0.0014244793619316853,0.48941335,0.9552167,0.7193494,0.8526084,0.0026068570931736183
42,0.5353264,0.98380965,0.79531664,0.9164494,0.0014026195597268084,0.518257,0.9656329,0.75509936,0.8712046,0.0023903875989153196
43,0.53986907,0.98378605,0.79692954,0.9171146,0.001392695236551666,0.5092161,0.9504631,0.7017839,0.8389493,0.002808175634372195
44,0.53850466,0.983854,0.79532737,0.9173343,0.00138452849105062,0.50859904,0.9417216,0.7164812,0.81748015,0.003027991045658526
45,0.5488755,0.98402274,0.80216867,0.9181403,0.0013621177383723682,0.5018685,0.9640656,0.7512412,0.8693379,0.0023928231323186895
46,0.5498385,0.9842315,0.80318505,0.91861737,0.0013498948345942736,0.5474784,0.9693774,0.7624983,0.8842218,0.002208701781560912
47,0.55310285,0.98428875,0.8041468,0.9193716,0.0013403597708241937,0.5170955,0.96055996,0.7573994,0.8606305,0.0024205121720258737
48,0.5526747,0.9844273,0.8114641,0.919697,0.001323207413249645,0.4987013,0.94181395,0.71321,0.8193374,0.0030285249165210287
49,0.5579756,0.9846099,0.8110872,0.9207073,0.0013086568090459468,0.5185791,0.96638477,0.7637,0.8760544,0.002280747343688027
