epoch,angioma_dice,bg_dice,cyst_dice,hcc_dice,loss,val_angioma_dice,val_bg_dice,val_cyst_dice,val_hcc_dice,val_loss
0,0.0023280028,0.9263455,0.18438146,0.7535582,0.004958615261667808,0.23236494,0.9170739,0.26578003,0.8162527,0.004664346714945216
1,0.09620807,0.9378366,0.3077883,0.78723776,0.004285761156474073,0.36582047,0.9172632,0.35225493,0.8147038,0.004423880529786019
2,0.22336407,0.9445767,0.38748994,0.80313915,0.003945979251061953,0.25589842,0.9288176,0.43067977,0.82650155,0.004067289573875697
3,0.27017635,0.9502636,0.44622526,0.8150806,0.003625097186535326,0.21341789,0.9291774,0.47352472,0.82217646,0.003975635096675863
4,0.29815567,0.95479184,0.4815029,0.8264529,0.0033773772614722575,0.22934133,0.93673944,0.51042235,0.8305707,0.0037557652286302886
5,0.3189069,0.9582197,0.50228906,0.8350685,0.0031935148692855886,0.26690912,0.9251151,0.49599296,0.81897277,0.003958308035997968
6,0.33099347,0.9613079,0.52754426,0.842355,0.0030335226148878714,0.27777383,0.93156016,0.5256351,0.8224437,0.0038099542385163277
7,0.349617,0.9642013,0.5484538,0.8493942,0.002888941565990972,0.30269784,0.9342666,0.5429504,0.8274164,0.003681152606579034
8,0.35250345,0.9665263,0.5691947,0.8557251,0.002758134632777564,0.33238018,0.9343245,0.55286735,0.8258566,0.003664419034397916
9,0.36433217,0.96869147,0.58561647,0.86072546,0.002643084802562553,0.35310802,0.94079506,0.59187466,0.8298018,0.003497621329305203
10,0.36254674,0.9704418,0.60256016,0.86556053,0.0025419067517952845,0.36639705,0.9405146,0.58894056,0.8298425,0.003465776363093602
11,0.37130928,0.97191304,0.61912185,0.86963856,0.0024461169415349354,0.43805268,0.9477258,0.5953357,0.8480114,0.0032389671659391176
12,0.3756712,0.97299165,0.6297457,0.8728117,0.0023780960774572543,0.427876,0.95662904,0.6495219,0.85693043,0.0029449181093246135
13,0.3869063,0.97422624,0.64462835,0.87660754,0.0023004540549325992,0.3574754,0.9361809,0.6013682,0.8187409,0.0035578580379584117
14,0.38388488,0.97507054,0.6535942,0.8790679,0.0022463528597349612,0.4128202,0.95696455,0.6655981,0.85221183,0.0029629186722204873
15,0.39230067,0.9756682,0.6587623,0.88080674,0.002191478271820287,0.4029347,0.9421689,0.621121,0.83015436,0.003352970146623097
16,0.4000393,0.97646016,0.6685525,0.88361216,0.0021369507442819033,0.39626336,0.9568077,0.6711561,0.85196066,0.0029449224258822045
17,0.40478164,0.9771593,0.67596185,0.8860556,0.002084631198988379,0.44477028,0.9636661,0.6857359,0.86952037,0.0026708158073750765
18,0.39859197,0.9776579,0.6816736,0.8877726,0.0020445243597943434,0.3760915,0.9480256,0.63041776,0.84003794,0.0031337244291544746
19,0.40889525,0.9782776,0.68901074,0.88992137,0.0020010034862628814,0.41811484,0.95866364,0.67619544,0.8557822,0.002805128994299785
20,0.41274118,0.97857106,0.69550896,0.8909677,0.001964376164025287,0.35696685,0.9463135,0.6481266,0.8315451,0.003182156520503524
21,0.41883922,0.9790885,0.70068544,0.89322716,0.0019278429946980517,0.36166275,0.9578153,0.6598141,0.8560342,0.0027937151242880837
22,0.42130065,0.9795798,0.7050095,0.89491725,0.001890356871842179,0.367332,0.9488687,0.64531237,0.8374124,0.003073107888554468
23,0.42516848,0.97975,0.709717,0.8955803,0.0018683640466213335,0.38485536,0.96182483,0.6979184,0.8613056,0.0026607453617218295
24,0.43411824,0.9800382,0.7148623,0.89714974,0.0018357266043336502,0.4051768,0.94766736,0.66381705,0.8296111,0.003059327708385689
25,0.43810833,0.980434,0.71800536,0.89827514,0.0018086169185238046,0.40695277,0.9606277,0.7028874,0.85861754,0.002690800747368485
26,0.4432817,0.98082054,0.7275048,0.9001697,0.0017670099503031668,0.4288826,0.96501756,0.7081169,0.8715405,0.0025245291108608636
27,0.45375,0.9810342,0.7292222,0.9017165,0.0017416973437534389,0.39300084,0.958861,0.6708046,0.86310357,0.0026954821314613677
28,0.45514667,0.981366,0.7364858,0.9029432,0.0017110007047658122,0.42592636,0.9691362,0.7101371,0.88436127,0.0023766958250321054
29,0.4628417,0.9815835,0.7411748,0.9041371,0.001683755137900158,0.4502541,0.9587039,0.6953839,0.8571128,0.0026401721101597343
30,0.4656205,0.98181725,0.7465068,0.9054118,0.0016579549140936978,0.49172547,0.96353084,0.72331274,0.86716515,0.0025097373350964564
31,0.47521618,0.9819405,0.74735,0.9066399,0.0016394839106812005,0.46101463,0.9639548,0.7142567,0.86576337,0.0024857384030167995
32,0.48329657,0.9821422,0.75358486,0.9077315,0.0016144897608777373,0.46643254,0.955577,0.69353557,0.85037345,0.002695340308679366
33,0.48766118,0.9824155,0.76041377,0.90901726,0.0015823576773987662,0.5369042,0.97046334,0.7470164,0.88544005,0.002262138247882065
34,0.4926647,0.9827569,0.76682746,0.91058886,0.0015474998674673574,0.4881831,0.9639065,0.73175687,0.8635701,0.0025598422782250533
35,0.4997965,0.9827678,0.7659941,0.9112952,0.0015391504468401835,0.5424492,0.9661737,0.73885614,0.87310636,0.0023278869567193877
36,0.5053825,0.983003,0.77403843,0.9120748,0.0015122893206057754,0.48563528,0.9616595,0.7104926,0.85330755,0.0027495196040131543
37,0.5088709,0.9831057,0.7752814,0.9126262,0.0015006319272663467,0.48349786,0.96369344,0.7190713,0.8717589,0.002391812045274204
38,0.51584905,0.9832669,0.78064233,0.91350013,0.0014739475750543914,0.4854195,0.9619752,0.7388429,0.8634453,0.0024881271631947083
39,0.52128,0.9834353,0.784288,0.9147177,0.0014513700563213274,0.46614152,0.9612707,0.741661,0.85995674,0.0025377977847758876
40,0.53004426,0.9835758,0.78655916,0.91477144,0.0014399265852863728,0.4770973,0.94087094,0.6280079,0.8264921,0.003189709738240038
41,0.5281315,0.98368555,0.7896011,0.91567636,0.0014229759436523923,0.48343304,0.9563719,0.6800441,0.85816664,0.0026316845086158105
42,0.52980053,0.98389167,0.79063314,0.9167675,0.0014043859780141328,0.48252624,0.96045166,0.7385207,0.86103755,0.00246649901076269
43,0.5348734,0.9839626,0.7951389,0.91720736,0.0013874458953195379,0.54402196,0.9695556,0.7648601,0.88314974,0.0021735538364584116
44,0.538774,0.9841896,0.7977704,0.9180908,0.0013737936389164947,0.5047994,0.96152717,0.7467501,0.86245596,0.002433322986195746
45,0.5551209,0.98422927,0.8002711,0.91858274,0.001357786398474082,0.4957236,0.96964794,0.762145,0.8833664,0.0022308609504742842
46,0.55535024,0.98444706,0.80480385,0.9190971,0.00133781477897805,0.4494283,0.94009423,0.6802464,0.821562,0.0031208752478031738
47,0.55156887,0.98444754,0.8033825,0.91951394,0.0013347905389735674,0.4872054,0.95343214,0.7112481,0.8495518,0.00263796232677506
48,0.5527861,0.9846047,0.8067619,0.92011535,0.00132223888971912,0.53204525,0.9672463,0.74132985,0.8803214,0.0022177641474837926
49,0.5621278,0.9846518,0.8094264,0.92070234,0.0013046177726658273,0.549298,0.9728238,0.76860416,0.89186907,0.002134490697154481
