epoch,angioma_dice,bg_dice,cyst_dice,hcc_dice,loss,val_angioma_dice,val_bg_dice,val_cyst_dice,val_hcc_dice,val_loss
0,0.09654199,0.9446295,0.31641605,0.79801255,0.006161231284691947,0.21589491,0.9048006,0.41241783,0.78865045,0.007042996129204862
1,0.15865974,0.96170235,0.45700413,0.8403241,0.004685930106791538,0.22584474,0.91306436,0.48018858,0.7801312,0.006690852112124527
2,0.18676525,0.9692106,0.5202491,0.85937744,0.0039991818997724546,0.23815812,0.9318269,0.56422055,0.78517884,0.005915209232388358
3,0.21003985,0.97406757,0.5616284,0.8736259,0.003515606818359317,0.19459128,0.91835445,0.50460434,0.75399286,0.006916257686128742
4,0.22646905,0.9767848,0.58816063,0.88319343,0.0032159103776364245,0.20034534,0.86442876,0.45280594,0.7078345,0.00896265710177096
5,0.24541695,0.9787155,0.6159881,0.89100266,0.002964172866569112,0.20818372,0.900731,0.55411476,0.7365696,0.007061809906552203
6,0.2587552,0.9801851,0.6333267,0.8974942,0.0027671866618066937,0.21477826,0.906938,0.5578698,0.7471118,0.006779423222362407
7,0.27447543,0.98125285,0.65161437,0.9027062,0.002605601298198879,0.27543044,0.94569516,0.57258034,0.84030265,0.004835562581582436
8,0.28494585,0.9821397,0.6741771,0.9062285,0.0024616188625130164,0.31306162,0.9611081,0.6462532,0.8623042,0.003855285012824951
9,0.29873395,0.9828301,0.6838648,0.90966535,0.002347323205231089,0.2671668,0.93001014,0.6337855,0.7910445,0.005254986089789064
