epoch,angioma_dice,bg_dice,cyst_dice,hcc_dice,loss,val_angioma_dice,val_bg_dice,val_cyst_dice,val_hcc_dice,val_loss
0,0.1245229,0.94608384,0.26883143,0.79058206,0.006526243605372113,0.078421056,0.9456277,0.40034392,0.816535,0.00654460527983151
1,0.046188522,0.96160537,0.4028947,0.8382347,0.0051437184712462706,0.008729883,0.9559333,0.51738036,0.840549,0.005527325907115531
2,0.013186112,0.9690437,0.47718284,0.8574397,0.00442975859866661,0.013298857,0.96404874,0.5182905,0.8317969,0.005378267731131545
3,0.04733531,0.9731836,0.5223362,0.8702551,0.003928871710792514,0.019827645,0.9655218,0.55347866,0.85020536,0.005134224120533633
4,0.10240528,0.9757272,0.562917,0.8802073,0.0035617960558424525,0.035901237,0.9721475,0.57522154,0.88071567,0.004437517505445469
5,0.13876404,0.9772424,0.5845284,0.8870354,0.003299669473337475,0.03320752,0.9680258,0.57171696,0.87068087,0.004581738065064296
6,0.17619061,0.9788374,0.6119628,0.89427036,0.0030388496171487307,0.06456605,0.9736166,0.5691621,0.8851778,0.004508841180741958
7,0.20352681,0.9799489,0.6304437,0.89943415,0.0028326183644181457,0.07039148,0.9715851,0.5139583,0.85552925,0.005204805250702377
8,0.22074059,0.9809323,0.6493675,0.9037904,0.0026832022541988664,0.07409579,0.97248226,0.5695024,0.8808476,0.004598732380331249
9,0.24149688,0.9817136,0.6607213,0.9070923,0.002558294382428902,0.09198478,0.9739251,0.5974229,0.89556664,0.004455611189202357
10,0.25558785,0.98238873,0.674959,0.9093842,0.0024495212141257276,0.10012959,0.9730022,0.58101773,0.88652086,0.004685586608094653
11,0.26532206,0.9828448,0.6848997,0.9114842,0.0023684461549955847,0.10288935,0.9685921,0.5319294,0.8658387,0.005185259072183582
12,0.27476096,0.98332125,0.6938526,0.91369534,0.0022815497689656805,0.12025658,0.97502786,0.5017548,0.8502806,0.0053193181933908675
13,0.28964612,0.9838789,0.70096713,0.9154849,0.002202102853974317,0.108038925,0.96648186,0.5300358,0.87521446,0.005324776339127167
14,0.29548508,0.9841263,0.7055083,0.9169132,0.002144306543815555,0.12507991,0.97851735,0.56081694,0.87338644,0.005086355742701255
15,0.299689,0.9845945,0.7168818,0.91865003,0.002068242562727271,0.119404234,0.9705473,0.55009913,0.88445216,0.005421036051886499
16,0.31178418,0.98490846,0.72372186,0.91959196,0.0020190574957979174,0.13034333,0.9755281,0.5164685,0.862976,0.005656465884178607
17,0.3207439,0.9852026,0.7312519,0.9209,0.0019689905237133716,0.12919669,0.9746451,0.55300224,0.8813876,0.005174956653147667
18,0.32921588,0.98539865,0.7355584,0.92217267,0.001921338312256618,0.11611201,0.9749797,0.5073147,0.8483722,0.006061193293931674
19,0.32871726,0.98563313,0.74316424,0.9232443,0.0018770100617176994,0.13557832,0.9744708,0.49023187,0.8376553,0.006442850169750224
20,0.33617213,0.98575723,0.7448261,0.9239432,0.0018542696965790201,0.14829953,0.9711025,0.5816558,0.88616705,0.0051830504831511795
21,0.34056497,0.9860434,0.74778396,0.9249797,0.001812371657883417,0.15474147,0.97100085,0.5538101,0.8855262,0.005159760357545517
22,0.3462273,0.9862191,0.75326955,0.92545855,0.0017769022822863101,0.16444889,0.9784237,0.60356677,0.8973555,0.004827836793387848
23,0.34935528,0.9863713,0.7584626,0.9265067,0.001746308765454489,0.14214283,0.97297907,0.53553396,0.87411535,0.005687511318017067
24,0.35474792,0.9864978,0.7597828,0.92703974,0.0017228085038695684,0.1419198,0.9674666,0.57682467,0.8734685,0.005656304808952356
25,0.35921136,0.98668164,0.7671909,0.9282272,0.0016806752739627687,0.15703182,0.97336173,0.6138785,0.88861364,0.004983814923708499
26,0.36029062,0.9868395,0.76641494,0.9285499,0.0016599212105075144,0.16304749,0.9786644,0.58288985,0.8867847,0.005225138858797053
27,0.36923745,0.98694223,0.77156913,0.9292731,0.0016329947742740305,0.15064506,0.9782526,0.5617291,0.87875694,0.0054654165229600805
28,0.37066382,0.987075,0.77506113,0.92957187,0.0016083050741706412,0.1680801,0.97598934,0.5578871,0.87920094,0.005547588510349957
