,index,count,count_CCR,count_cys,lumi_mean,right,left,slices,spacing_xy,spacing_z,up_kid_slice,down_kid_slice,st,en,origin_0,origin_1,origin_2
0,0,369526,0.0,4787.0,166.59816088719063,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
1,1,336744,8872.0,4181.0,187.8554718124154,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
2,2,297822,1092.0,0.0,150.4933785952683,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
3,3,308553,31025.0,3197.0,98.561760864422,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
4,4,395548,1847.0,955.0,112.89323419660823,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
5,5,735948,335177.0,58.0,100.08308739204399,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
6,6,529050,0.0,928.0,168.71991872223796,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
7,7,370647,22696.0,0.0,133.06138994784794,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
8,8,424470,1803.0,8347.0,87.58986265224868,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
9,9,523632,8602.0,73798.0,113.62973042136463,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
10,10,258030,22039.0,15520.0,106.64426617060032,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
11,11,614652,292828.0,80.0,114.99173353377195,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
12,12,381387,14804.0,447.0,118.56377118255207,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
13,13,449899,8859.0,69930.0,79.03658154385762,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
14,14,324863,4765.0,5007.0,116.85918371744397,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
15,15,538923,8671.0,0.0,99.61123203129203,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
